Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,Requirement_Title,Estimated_Value,Priority_Level,Status,Contract_Type,Anticipated_Set_Aside,Recompete,Incumbent_Contractor,Planned_Award_Quarter,Predicted_Days_to_Award,Predicted_Award_Amount,Predicted_Protest_Probability,Oversight_Probability,Composite_Risk_Score
FCST-001531,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 8,IT Services,IT Services Requirement - VISN 10 Medical Center North FY2027,217113.23,Medium,Planning,IDIQ,Small Business,Yes,Sterling Industries,FY Q4,77.0,222943.0,0.279,0.001,24.7
FCST-001532,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 4,IT Services,IT Services Requirement - VISN 8 Medical Center Main FY2026,1337138.14,Low,Market Research,Blanket Purchase Agreement (BPA),SDVOSB,No,,FY Q4,81.0,1.342087e+06,0.07,0.022,29.8
FCST-001533,2027,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 9,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 18 Medical Center North FY2027,160109.07,Low,Draft Solicitation,Firm Fixed Price,Small Business,No,,FY Q1,77.0,148654.0,0.357,0.001,25.1
FCST-001535,2027,13,VISN 13 Medical Center North,SAO East,Construction,Construction Requirement - VISN 13 Medical Center North FY2027,4606075.43,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Apex Federal Services,FY Q3,107.0,4.59522e+06,0.085,0.104,49.7
FCST-001536,2026,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 7,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center Main FY2026,34484.33,Medium,Market Research,IDIQ,SDVOSB,No,,FY Q3,75.0,33498.0,0.073,0.0,8.3
FCST-001537,2028,15,VISN 15 Medical Center Main,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 15 Medical Center Main FY2028,876625.06,Low,Solicitation Released,Firm Fixed Price,SDVOSB,Yes,Liberty Associates,FY Q1,80.0,850992.0,0.158,0.007,29.4
FCST-001538,2026,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 1,IT Services,IT Services Requirement - VISN 11 Medical Center Main FY2026,1088632.46,Medium,Solicitation Released,Time and Materials,Small Business,No,,FY Q4,81.0,1.167072e+06,0.192,0.014,32.4
FCST-001539,2028,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 2,Professional Services,Professional Services Requirement - VISN 12 Medical Center Main FY2028,91615.3,Critical,On Hold,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q2,100.0,93499.0,0.446,0.015,37.4
FCST-001540,2027,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 2,Professional Services,Professional Services Requirement - VISN 15 Medical Center Main FY2027,1098488.9,Medium,Draft Solicitation,Firm Fixed Price,SDVOSB,No,,FY Q3,81.0,1.141567e+06,0.344,0.012,36.9
FCST-001541,2027,2,VISN 2 Medical Center North,Technology Acquisition Center (TAC),Food Service,Food Service Requirement - VISN 2 Medical Center North FY2027,147149.5,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Atlas Federal Services,FY Q3,98.0,153585.0,0.13,0.068,29.5
FCST-001542,2027,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 11,Construction,Construction Requirement - VISN 7 Medical Center Main FY2027,3008585.08,Medium,Market Research,IDIQ,8(a),Yes,Guardian Federal Services,FY Q4,92.0,2.991536e+06,0.203,0.051,43.3
FCST-001543,2026,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 1,Medical Equipment,Medical Equipment Requirement - VISN 9 Medical Center East FY2026,652215.19,Low,Planning,Cost Plus Fixed Fee,SDVOSB,Yes,Apex Group,FY Q3,78.0,624454.0,0.265,0.004,30.1
FCST-001544,2026,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 4,Pharmaceuticals,Pharmaceuticals Requirement - VISN 4 Medical Center North FY2026,2347765.98,Medium,Planning,Time and Materials,SDVOSB,Yes,Patriot Consulting,FY Q1,89.0,2.180656e+06,0.046,0.028,35.6
FCST-001545,2027,18,VISN 18 Medical Center North,Denver Acquisition and Logistics Center (DALC),Professional Services,Professional Services Requirement - VISN 18 Medical Center North FY2027,175498.57,Medium,Draft Solicitation,IDIQ,HUBZone,No,,FY Q4,77.0,181247.0,0.15,0.001,19.9
FCST-001546,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 14,IT Services,IT Services Requirement - VISN 12 Medical Center North FY2026,3516969.58,Medium,Draft Solicitation,Firm Fixed Price,SDVOSB,Yes,Atlas Group,FY Q2,97.0,3.317188e+06,0.073,0.072,42.6
FCST-001547,2027,17,VISN 17 Medical Center East,Network Contracting Office (NCO) 18,IT Services,IT Services Requirement - VISN 17 Medical Center East FY2027,460782.05,Critical,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),No,,FY Q1,98.0,502824.0,0.222,0.196,38.3
FCST-001548,2027,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 8,Professional Services,Professional Services Requirement - VISN 11 Medical Center North FY2027,227386.76,Low,Solicitation Released,Cost Plus Fixed Fee,SDVOSB,Yes,Anchor Industries,FY Q2,76.0,227580.0,0.346,0.001,26.6
FCST-001549,2026,18,VISN 18 Medical Center Main,SAO West,Security Services,Security Services Requirement - VISN 18 Medical Center Main FY2026,213159.94,Medium,Solicitation Released,IDIQ,Full and Open (No Set-Aside),Yes,Patriot Enterprises,FY Q3,100.0,227269.0,0.275,0.067,36.6
FCST-001550,2026,11,VISN 11 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Professional Services,Professional Services Requirement - VISN 11 Medical Center North FY2026,82785.76,Low,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),Yes,Cornerstone Associates,FY Q2,100.0,89968.0,0.285,0.016,32.3
FCST-001551,2026,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 8,Food Service,Food Service Requirement - VISN 3 Medical Center North FY2026,421039.27,Low,Solicitation Released,Firm Fixed Price,8(a),No,,FY Q3,76.0,446578.0,0.227,0.005,26.4
FCST-001552,2027,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 10,Medical Equipment,Medical Equipment Requirement - VISN 7 Medical Center Main FY2027,426935.78,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,97.0,437798.0,0.33,0.17,40.0
FCST-001553,2027,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 15,IT Services,IT Services Requirement - VISN 10 Medical Center Main FY2027,2743626.26,High,Planning,Firm Fixed Price,SDVOSB,No,,FY Q2,94.0,2.730795e+06,0.103,0.05,40.9
FCST-001554,2027,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 6,Security Services,Security Services Requirement - VISN 14 Medical Center Main FY2027,194502.93,Medium,Draft Solicitation,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Keystone Systems,FY Q2,97.0,189474.0,0.26,0.048,33.8
FCST-001555,2027,13,VISN 13 Medical Center North,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2027,163849.49,Medium,Planning,Time and Materials,Full and Open (No Set-Aside),Yes,Frontier Solutions,FY Q1,98.0,161369.0,0.406,0.046,37.9
FCST-001556,2026,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 3,Security Services,Security Services Requirement - VISN 15 Medical Center North FY2026,312056.89,Low,Draft Solicitation,Firm Fixed Price,WOSB,No,,FY Q3,76.0,310035.0,0.313,0.002,27.0
FCST-001557,2026,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 6,Construction,Construction Requirement - VISN 18 Medical Center South FY2026,1567767.99,High,Market Research,Firm Fixed Price,SDVOSB,No,,FY Q1,80.0,1.58247e+06,0.395,0.022,39.9
FCST-001558,2026,11,VISN 11 Medical Center North,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 11 Medical Center North FY2026,188967.7,Medium,Planning,Firm Fixed Price,SDVOSB,No,,FY Q3,77.0,183107.0,0.379,0.001,26.7
FCST-001559,2027,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 7,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center South FY2027,394207.17,Medium,Draft Solicitation,Firm Fixed Price,SDVOSB,No,,FY Q3,74.0,398202.0,0.244,0.002,25.3
FCST-001560,2027,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 11,Facilities Management,Facilities Management Requirement - VISN 16 Medical Center North FY2027,201238.63,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,96.0,210190.0,0.241,0.047,33.3
FCST-001561,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 4,IT Services,IT Services Requirement - VISN 10 Medical Center North FY2027,192224.83,Low,Market Research,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Meridian Enterprises,FY Q1,97.0,203667.0,0.295,0.049,35.0
FCST-001562,2027,17,VISN 17 Medical Center East,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 17 Medical Center East FY2027,208129.65,Critical,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,99.0,226264.0,0.407,0.059,40.2
FCST-001563,2026,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 17 Medical Center North FY2026,735654.44,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,99.0,755363.0,0.328,0.305,43.9
FCST-001564,2026,13,VISN 13 Medical Center South,Technology Acquisition Center (TAC),Medical Equipment,Medical Equipment Requirement - VISN 13 Medical Center South FY2026,296572.31,Low,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Summit Partners,FY Q1,98.0,308746.0,0.392,0.113,40.6
FCST-001565,2027,10,VISN 10 Medical Center North,Denver Acquisition and Logistics Center (DALC),Transportation,Transportation Requirement - VISN 10 Medical Center North FY2027,1188322.34,Medium,Solicitation Released,Firm Fixed Price,8(a),Yes,Beacon Enterprises,FY Q4,80.0,1.104069e+06,0.299,0.009,34.8
FCST-001566,2028,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 1,Pharmaceuticals,Pharmaceuticals Requirement - VISN 7 Medical Center Main FY2028,505745.01,Low,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Sterling Solutions,FY Q2,97.0,544928.0,0.245,0.164,38.7
FCST-001567,2026,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 4,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 11 Medical Center Main FY2026,346218.27,Medium,On Hold,Blanket Purchase Agreement (BPA),SDVOSB,No,,FY Q4,76.0,343790.0,0.28,0.002,26.8
FCST-001568,2028,3,VISN 3 Medical Center East,Network Contracting Office (NCO) 12,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 3 Medical Center East FY2028,262111.18,Medium,Solicitation Released,Firm Fixed Price,WOSB,Yes,Apex Solutions,FY Q4,76.0,261788.0,0.14,0.001,20.8
FCST-001569,2026,3,VISN 3 Medical Center South,SAO West,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 3 Medical Center South FY2026,82720.4,Medium,Market Research,Time and Materials,SDVOSB,Yes,Sterling Federal Services,FY Q3,79.0,83643.0,0.462,0.0,26.2
FCST-001570,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 5,Security Services,Security Services Requirement - VISN 2 Medical Center Main FY2027,700944.29,Low,Solicitation Released,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,100.0,700758.0,0.406,0.31,46.1
FCST-001571,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 15,Pharmaceuticals,Pharmaceuticals Requirement - VISN 8 Medical Center Main FY2026,208256.01,Low,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q1,100.0,212688.0,0.309,0.052,37.3
FCST-001572,2027,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 11,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center South FY2027,72629.24,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,98.0,75577.0,0.377,0.013,33.2
FCST-001573,2026,17,VISN 17 Medical Center East,Technology Acquisition Center (TAC),Construction,Construction Requirement - VISN 17 Medical Center East FY2026,1764506.7,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Industries,FY Q4,103.0,1.920366e+06,0.23,0.678,47.4
FCST-001574,2027,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 10,Pharmaceuticals,Pharmaceuticals Requirement - VISN 8 Medical Center Main FY2027,1351109.34,Medium,Planning,Labor Hour,Small Business,No,,FY Q3,82.0,1.381858e+06,0.303,0.016,37.5
FCST-001576,2026,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 5,Professional Services,Professional Services Requirement - VISN 13 Medical Center North FY2026,171344.38,Critical,Market Research,Time and Materials,WOSB,No,,FY Q2,77.0,170253.0,0.175,0.001,20.3
FCST-001577,2028,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 7,IT Services,IT Services Requirement - VISN 5 Medical Center North FY2028,2331500.29,Medium,Planning,Firm Fixed Price,HUBZone,No,,FY Q1,89.0,2.305502e+06,0.091,0.04,37.1
FCST-001578,2028,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 3,Security Services,Security Services Requirement - VISN 5 Medical Center North FY2028,95328.24,Low,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),Yes,Precision Enterprises,FY Q2,102.0,95549.0,0.102,0.02,28.0
FCST-001579,2027,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 4,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 8 Medical Center North FY2027,3589393.38,Medium,Planning,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q2,112.0,3.505748e+06,0.126,0.786,51.9
FCST-001580,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 14,Pharmaceuticals,Pharmaceuticals Requirement - VISN 12 Medical Center North FY2026,4241967.9,Medium,Market Research,Time and Materials,Small Business,No,,FY Q1,97.0,4.032264e+06,0.026,0.066,42.0
FCST-001581,2027,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 12,Facilities Management,Facilities Management Requirement - VISN 13 Medical Center Main FY2027,215083.38,High,Solicitation Released,IDIQ,Full and Open (No Set-Aside),Yes,Horizon Consulting,FY Q4,97.0,228053.0,0.232,0.047,34.0
FCST-001582,2026,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 18,IT Services,IT Services Requirement - VISN 14 Medical Center South FY2026,491133.92,Low,Draft Solicitation,Blanket Purchase Agreement (BPA),Small Business,Yes,Keystone Inc.,FY Q2,76.0,531458.0,0.146,0.005,24.6
FCST-001583,2026,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 16,Pharmaceuticals,Pharmaceuticals Requirement - VISN 16 Medical Center Main FY2026,397267.12,Low,On Hold,Firm Fixed Price,Small Business,Yes,Pinnacle Inc.,FY Q4,75.0,399566.0,0.261,0.002,26.5
FCST-001584,2027,11,VISN 11 Medical Center North,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 11 Medical Center North FY2027,789159.84,High,Solicitation Released,Time and Materials,SDVOSB,Yes,Beacon Technologies,FY Q4,81.0,783043.0,0.162,0.007,30.0
FCST-001585,2027,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 15,Security Services,Security Services Requirement - VISN 8 Medical Center Main FY2027,142000.71,Critical,Solicitation Released,Time and Materials,VOSB,Yes,Summit Enterprises,FY Q3,76.0,139111.0,0.227,0.001,20.6
FCST-001586,2028,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 17,IT Services,IT Services Requirement - VISN 3 Medical Center North FY2028,547829.86,Low,Draft Solicitation,Cost Plus Fixed Fee,8(a),Yes,Horizon Solutions,FY Q2,77.0,595694.0,0.198,0.003,27.3
FCST-001587,2027,8,VISN 8 Medical Center Main,Technology Acquisition Center (TAC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 8 Medical Center Main FY2027,572988.93,Medium,Solicitation Released,IDIQ,WOSB,No,,FY Q2,77.0,584347.0,0.088,0.003,24.1
FCST-001588,2028,12,VISN 12 Medical Center Main,Technology Acquisition Center (TAC),Security Services,Security Services Requirement - VISN 12 Medical Center Main FY2028,470107.47,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,98.0,491906.0,0.38,0.213,42.9
FCST-001589,2028,18,VISN 18 Medical Center North,National Acquisition Center (NAC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 18 Medical Center North FY2028,1294362.1,Medium,Planning,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,Precision LLC,FY Q2,101.0,1.375205e+06,0.075,0.511,40.4
FCST-001590,2026,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 2,IT Services,IT Services Requirement - VISN 9 Medical Center South FY2026,427986.79,Medium,Solicitation Released,Firm Fixed Price,VOSB,No,,FY Q2,75.0,455082.0,0.189,0.003,24.8
FCST-001591,2026,1,VISN 1 Medical Center Main,Network Contracting Office (NCO) 4,Professional Services,Professional Services Requirement - VISN 1 Medical Center Main FY2026,1400452.69,Medium,Draft Solicitation,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Summit Industries,FY Q3,81.0,1.471751e+06,0.462,0.021,42.1
FCST-001592,2027,3,VISN 3 Medical Center South,Network Contracting Office (NCO) 9,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 3 Medical Center South FY2027,472589.24,Medium,Market Research,Blanket Purchase Agreement (BPA),VOSB,No,,FY Q1,76.0,470671.0,0.259,0.003,27.5
FCST-001593,2026,8,VISN 8 Medical Center Main,Technology Acquisition Center (TAC),Facilities Management,Facilities Management Requirement - VISN 8 Medical Center Main FY2026,369808.38,High,Solicitation Released,Time and Materials,Full and Open (No Set-Aside),Yes,Keystone Group,FY Q4,96.0,365687.0,0.223,0.121,35.6
FCST-001594,2027,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 15,Professional Services,Professional Services Requirement - VISN 14 Medical Center South FY2027,1059668.41,Medium,Solicitation Released,Firm Fixed Price,Small Business,No,,FY Q1,80.0,1.095784e+06,0.379,0.011,37.5
FCST-001595,2027,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 14,IT Services,IT Services Requirement - VISN 1 Medical Center North FY2027,123220.35,High,Planning,IDIQ,Full and Open (No Set-Aside),No,,FY Q1,99.0,132987.0,0.298,0.031,34.1
FCST-001596,2026,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 14,Security Services,Security Services Requirement - VISN 15 Medical Center Main FY2026,140698.33,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Legacy Enterprises,FY Q4,99.0,139753.0,0.257,0.041,33.1
FCST-001597,2027,18,VISN 18 Medical Center South,SAO East,IT Services,IT Services Requirement - VISN 18 Medical Center South FY2027,1257918.93,Medium,Market Research,Time and Materials,SDVOSB,Yes,Unity Inc.,FY Q1,81.0,1.258636e+06,0.198,0.017,33.2
FCST-001598,2026,11,VISN 11 Medical Center North,Technology Acquisition Center (TAC),Medical Equipment,Medical Equipment Requirement - VISN 11 Medical Center North FY2026,560131.59,Medium,Market Research,Firm Fixed Price,WOSB,Yes,Atlas Inc.,FY Q2,76.0,555819.0,0.097,0.004,23.3
FCST-001599,2027,9,VISN 9 Medical Center Main,Network Contracting Office (NCO) 15,IT Services,IT Services Requirement - VISN 9 Medical Center Main FY2027,440026.23,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,99.0,470378.0,0.224,0.202,38.5
FCST-001600,2026,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 9,Medical Equipment,Medical Equipment Requirement - VISN 10 Medical Center North FY2026,92827.16,Low,Planning,Firm Fixed Price,SDVOSB,Yes,Apex Industries,FY Q4,79.0,89451.0,0.404,0.0,24.9
FCST-001601,2027,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 10,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center South FY2027,811192.41,High,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q3,95.0,792888.0,0.22,0.375,38.8
FCST-001602,2027,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 1,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center North FY2027,335563.68,Low,Market Research,Labor Hour,Full and Open (No Set-Aside),Yes,Cornerstone Technologies,FY Q4,96.0,360344.0,0.309,0.173,38.1
FCST-001603,2027,12,VISN 12 Medical Center North,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center North FY2027,407407.8,Medium,Planning,Firm Fixed Price,VOSB,Yes,Keystone Group,FY Q4,75.0,412320.0,0.337,0.002,28.9
FCST-001604,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 9,IT Services,IT Services Requirement - VISN 12 Medical Center Main FY2027,267686.4,Low,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,98.0,296820.0,0.24,0.105,36.0
FCST-001605,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 3,Food Service,Food Service Requirement - VISN 12 Medical Center Main FY2027,430805.22,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,100.0,480102.0,0.115,0.277,35.4
FCST-001606,2027,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 3,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center South FY2027,426201.59,High,Planning,Firm Fixed Price,SDVOSB,Yes,Meridian Solutions,FY Q4,76.0,430747.0,0.344,0.002,29.5
FCST-001607,2027,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 10,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center North FY2027,378570.85,Medium,Market Research,Time and Materials,Full and Open (No Set-Aside),Yes,Cornerstone Systems,FY Q1,97.0,392674.0,0.376,0.148,41.2
FCST-001608,2027,4,VISN 4 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Facilities Management,Facilities Management Requirement - VISN 4 Medical Center North FY2027,523397.7,Medium,Market Research,Time and Materials,Full and Open (No Set-Aside),Yes,Keystone Partners,FY Q2,96.0,550898.0,0.206,0.19,37.1
FCST-001609,2026,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 1,Professional Services,Professional Services Requirement - VISN 16 Medical Center North FY2026,789724.92,Critical,Market Research,Time and Materials,Full and Open (No Set-Aside),Yes,Liberty Consulting,FY Q3,96.0,852846.0,0.231,0.383,39.8
FCST-001610,2027,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 18,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center South FY2027,403037.07,Medium,Draft Solicitation,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q2,97.0,418716.0,0.373,0.113,41.4
FCST-001611,2026,10,VISN 10 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 10 Medical Center North FY2026,588162.85,High,Market Research,Firm Fixed Price,HUBZone,Yes,Vertex Systems,FY Q1,76.0,595256.0,0.174,0.004,26.4
FCST-001612,2026,1,VISN 1 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Transportation,Transportation Requirement - VISN 1 Medical Center Main FY2026,443206.45,Medium,Market Research,Firm Fixed Price,WOSB,Yes,Precision Technologies,FY Q4,78.0,456470.0,0.063,0.002,22.3
FCST-001613,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 3,Construction,Construction Requirement - VISN 12 Medical Center Main FY2027,1540733.42,Medium,Market Research,Firm Fixed Price,8(a),No,,FY Q1,78.0,1.59349e+06,0.45,0.021,40.6
FCST-001614,2027,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 18,IT Services,IT Services Requirement - VISN 15 Medical Center Main FY2027,465791.97,High,Planning,Time and Materials,Full and Open (No Set-Aside),Yes,Horizon Industries,FY Q3,99.0,496624.0,0.224,0.232,38.3
FCST-001615,2028,9,VISN 9 Medical Center East,Strategic Acquisition Center (SAC) - Frederick,Facilities Management,Facilities Management Requirement - VISN 9 Medical Center East FY2028,275395.93,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,96.0,279378.0,0.216,0.074,33.7
FCST-001616,2027,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 9 Medical Center East FY2027,242749.22,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,98.0,254969.0,0.416,0.074,40.2
FCST-001617,2027,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 13,Facilities Management,Facilities Management Requirement - VISN 10 Medical Center Main FY2027,214840.88,High,Planning,Firm Fixed Price,SDVOSB,Yes,Vertex Associates,FY Q1,75.0,211415.0,0.281,0.001,23.8
FCST-001618,2027,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 5,IT Services,IT Services Requirement - VISN 11 Medical Center Main FY2027,1696077.46,Low,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,101.0,1.646402e+06,0.364,0.668,50.0
FCST-001619,2026,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 14 Medical Center Main FY2026,150009.99,Medium,Market Research,Time and Materials,SDVOSB,Yes,Liberty Consulting,FY Q1,75.0,148406.0,0.316,0.0,22.8
FCST-001620,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 4,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 10 Medical Center North FY2027,122946.7,Low,Planning,Time and Materials,SDVOSB,No,,FY Q3,77.0,122803.0,0.385,0.0,25.1
FCST-001621,2026,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 15,Facilities Management,Facilities Management Requirement - VISN 13 Medical Center South FY2026,1036380.24,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Federal Services,FY Q4,100.0,1.032269e+06,0.299,0.381,44.9
FCST-001622,2027,17,VISN 17 Medical Center East,Technology Acquisition Center (TAC),Professional Services,Professional Services Requirement - VISN 17 Medical Center East FY2027,365477.16,Low,Draft Solicitation,Labor Hour,Full and Open (No Set-Aside),Yes,Legacy Technologies,FY Q3,96.0,377456.0,0.343,0.205,39.3
FCST-001623,2026,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 9,Professional Services,Professional Services Requirement - VISN 10 Medical Center Main FY2026,207490.15,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,99.0,234174.0,0.372,0.068,39.2
FCST-001624,2028,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 12,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2028,626585.83,Medium,Draft Solicitation,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Keystone Consulting,FY Q2,97.0,655341.0,0.336,0.2,42.4
FCST-001625,2027,17,VISN 17 Medical Center West,SAO East,IT Services,IT Services Requirement - VISN 17 Medical Center West FY2027,722713.26,Critical,Solicitation Released,Firm Fixed Price,SDVOSB,No,,FY Q3,78.0,727448.0,0.163,0.007,28.1
FCST-001626,2027,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 4 Medical Center North FY2027,95505.35,Low,Market Research,Blanket Purchase Agreement (BPA),WOSB,No,,FY Q4,79.0,92375.0,0.115,0.0,16.4
